year,municipality_code,municipality,gini_index
1991,110001,Alta Floresta D'Oeste,0.5983
2000,110001,Alta Floresta D'Oeste,0.5868
2010,110001,Alta Floresta D'Oeste,0.5893
1991,110037,Alto Alegre dos Parecis,NA
2000,110037,Alto Alegre dos Parecis,0.508
2010,110037,Alto Alegre dos Parecis,0.5491
1991,110040,Alto Paraíso,NA
2000,110040,Alto Paraíso,0.6256
2010,110040,Alto Paraíso,0.5417
1991,110034,Alvorada D'Oeste,0.569
2000,110034,Alvorada D'Oeste,0.6534
2010,110034,Alvorada D'Oeste,0.5355
1991,110002,Ariquemes,0.5827
2000,110002,Ariquemes,0.5927
2010,110002,Ariquemes,0.5496
1991,110045,Buritis,NA
2000,110045,Buritis,0.6474
2010,110045,Buritis,0.5017
1991,110003,Cabixi,0.6527
2000,110003,Cabixi,0.5806
2010,110003,Cabixi,0.5166
1991,110060,Cacaulândia,NA
2000,110060,Cacaulândia,0.6149
2010,110060,Cacaulândia,0.5579
1991,110004,Cacoal,0.68
2000,110004,Cacoal,0.5615
2010,110004,Cacoal,0.589
1991,110070,Campo Novo de Rondônia,NA
2000,110070,Campo Novo de Rondônia,0.6693
2010,110070,Campo Novo de Rondônia,0.6705
1991,110080,Candeias do Jamari,NA
2000,110080,Candeias do Jamari,0.5279
2010,110080,Candeias do Jamari,0.4762
1991,110090,Castanheiras,NA
2000,110090,Castanheiras,0.6465
2010,110090,Castanheiras,0.4996
1991,110005,Cerejeiras,0.5958
2000,110005,Cerejeiras,0.6935
2010,110005,Cerejeiras,0.5147
1991,110092,Chupinguaia,NA
2000,110092,Chupinguaia,0.5507
2010,110092,Chupinguaia,0.4752
1991,110006,Colorado do Oeste,0.6229
2000,110006,Colorado do Oeste,0.5725
2010,110006,Colorado do Oeste,0.5154
1991,110007,Corumbiara,NA
2000,110007,Corumbiara,0.5496
2010,110007,Corumbiara,0.4852
1991,110008,Costa Marques,0.6495
2000,110008,Costa Marques,0.5992
2010,110008,Costa Marques,0.5239
1991,110094,Cujubim,NA
2000,110094,Cujubim,0.6209
2010,110094,Cujubim,0.525
1991,110009,Espigão D'Oeste,0.6301
2000,110009,Espigão D'Oeste,0.6309
2010,110009,Espigão D'Oeste,0.5399
1991,110100,Governador Jorge Teixeira,NA
2000,110100,Governador Jorge Teixeira,0.5725
2010,110100,Governador Jorge Teixeira,0.5571
1991,110010,Guajará-Mirim,0.6024
2000,110010,Guajará-Mirim,0.6093
2010,110010,Guajará-Mirim,0.5586
1991,110110,Itapuã do Oeste,NA
2000,110110,Itapuã do Oeste,0.6626
2010,110110,Itapuã do Oeste,0.4771
1991,110011,Jaru,0.5654
2000,110011,Jaru,0.5718
2010,110011,Jaru,0.5081
1991,110012,Ji-Paraná,0.5614
2000,110012,Ji-Paraná,0.5992
2010,110012,Ji-Paraná,0.5449
1991,110013,Machadinho D'Oeste,0.5838
2000,110013,Machadinho D'Oeste,0.6228
2010,110013,Machadinho D'Oeste,0.5596
1991,110120,Ministro Andreazza,NA
2000,110120,Ministro Andreazza,0.6649
2010,110120,Ministro Andreazza,0.5588
1991,110130,Mirante da Serra,NA
2000,110130,Mirante da Serra,0.5282
2010,110130,Mirante da Serra,0.6102
1991,110140,Monte Negro,NA
2000,110140,Monte Negro,0.5475
2010,110140,Monte Negro,0.4813
1991,110014,Nova Brasilândia D'Oeste,0.4898
2000,110014,Nova Brasilândia D'Oeste,0.5605
2010,110014,Nova Brasilândia D'Oeste,0.5688
1991,110033,Nova Mamoré,0.5043
2000,110033,Nova Mamoré,0.6701
2010,110033,Nova Mamoré,0.5357
1991,110143,Nova União,NA
2000,110143,Nova União,0.5587
2010,110143,Nova União,0.4665
1991,110050,Novo Horizonte do Oeste,NA
2000,110050,Novo Horizonte do Oeste,0.6336
2010,110050,Novo Horizonte do Oeste,0.5214
1991,110015,Ouro Preto do Oeste,0.5939
2000,110015,Ouro Preto do Oeste,0.6047
2010,110015,Ouro Preto do Oeste,0.4947
1991,110145,Parecis,NA
2000,110145,Parecis,0.6257
2010,110145,Parecis,0.5315
1991,110018,Pimenta Bueno,0.5955
2000,110018,Pimenta Bueno,0.5949
2010,110018,Pimenta Bueno,0.55
1991,110146,Pimenteiras do Oeste,NA
2000,110146,Pimenteiras do Oeste,0.4642
2010,110146,Pimenteiras do Oeste,0.4964
1991,110020,Porto Velho,0.5829
2000,110020,Porto Velho,0.6165
2010,110020,Porto Velho,0.5745
1991,110025,Presidente Médici,0.5168
2000,110025,Presidente Médici,0.5777
2010,110025,Presidente Médici,0.5281
1991,110147,Primavera de Rondônia,NA
2000,110147,Primavera de Rondônia,0.507
2010,110147,Primavera de Rondônia,0.5188
1991,110026,Rio Crespo,NA
2000,110026,Rio Crespo,0.7593
2010,110026,Rio Crespo,0.5783
1991,110028,Rolim de Moura,0.6075
2000,110028,Rolim de Moura,0.5858
2010,110028,Rolim de Moura,0.5401
1991,110029,Santa Luzia D'Oeste,0.5145
2000,110029,Santa Luzia D'Oeste,0.4862
2010,110029,Santa Luzia D'Oeste,0.4972
1991,110148,São Felipe D'Oeste,NA
2000,110148,São Felipe D'Oeste,0.5335
2010,110148,São Felipe D'Oeste,0.4695
1991,110149,São Francisco do Guaporé,NA
2000,110149,São Francisco do Guaporé,0.5095
2010,110149,São Francisco do Guaporé,0.5684
1991,110032,São Miguel do Guaporé,0.6163
2000,110032,São Miguel do Guaporé,0.5329
2010,110032,São Miguel do Guaporé,0.6308
1991,110150,Seringueiras,NA
2000,110150,Seringueiras,0.5596
2010,110150,Seringueiras,0.6384
1991,110155,Teixeirópolis,NA
2000,110155,Teixeirópolis,0.5295
2010,110155,Teixeirópolis,0.4346
1991,110160,Theobroma,NA
2000,110160,Theobroma,0.5883
2010,110160,Theobroma,0.5763
1991,110170,Urupá,NA
2000,110170,Urupá,0.5854
2010,110170,Urupá,0.5165
1991,110175,Vale do Anari,NA
2000,110175,Vale do Anari,0.5883
2010,110175,Vale do Anari,0.5727
1991,110180,Vale do Paraíso,NA
2000,110180,Vale do Paraíso,0.613
2010,110180,Vale do Paraíso,0.5885
1991,110030,Vilhena,0.5811
2000,110030,Vilhena,0.5714
2010,110030,Vilhena,0.509
1991,120001,Acrelândia,NA
2000,120001,Acrelândia,0.619
2010,120001,Acrelândia,0.5464
1991,120005,Assis Brasil,0.4574
2000,120005,Assis Brasil,0.5787
2010,120005,Assis Brasil,0.6228
1991,120010,Brasiléia,0.5713
2000,120010,Brasiléia,0.6143
2010,120010,Brasiléia,0.5945
1991,120013,Bujari,NA
2000,120013,Bujari,0.6873
2010,120013,Bujari,0.5832
1991,120017,Capixaba,NA
2000,120017,Capixaba,0.5462
2010,120017,Capixaba,0.5627
1991,120020,Cruzeiro do Sul,0.5893
2000,120020,Cruzeiro do Sul,0.608
2010,120020,Cruzeiro do Sul,0.6438
1991,120025,Epitaciolândia,NA
2000,120025,Epitaciolândia,0.5666
2010,120025,Epitaciolândia,0.607
1991,120030,Feijó,0.5604
2000,120030,Feijó,0.6437
2010,120030,Feijó,0.6774
1991,120032,Jordão,NA
2000,120032,Jordão,0.7098
2010,120032,Jordão,0.7112
1991,120033,Mâncio Lima,0.4796
2000,120033,Mâncio Lima,0.6491
2010,120033,Mâncio Lima,0.6102
1991,120034,Manoel Urbano,0.6673
2000,120034,Manoel Urbano,0.6493
2010,120034,Manoel Urbano,0.5939
1991,120035,Marechal Thaumaturgo,NA
2000,120035,Marechal Thaumaturgo,0.7032
2010,120035,Marechal Thaumaturgo,0.5938
1991,120038,Plácido de Castro,0.54
2000,120038,Plácido de Castro,0.5371
2010,120038,Plácido de Castro,0.575
1991,120080,Porto Acre,NA
2000,120080,Porto Acre,0.5385
2010,120080,Porto Acre,0.6121
1991,120039,Porto Walter,NA
2000,120039,Porto Walter,0.4876
2010,120039,Porto Walter,0.6094
1991,120040,Rio Branco,0.6043
2000,120040,Rio Branco,0.6223
2010,120040,Rio Branco,0.6121
1991,120042,Rodrigues Alves,NA
2000,120042,Rodrigues Alves,0.6003
2010,120042,Rodrigues Alves,0.6463
1991,120043,Santa Rosa do Purus,NA
2000,120043,Santa Rosa do Purus,0.5732
2010,120043,Santa Rosa do Purus,0.7758
1991,120050,Sena Madureira,0.5892
2000,120050,Sena Madureira,0.6159
2010,120050,Sena Madureira,0.5485
1991,120045,Senador Guiomard,0.5286
2000,120045,Senador Guiomard,0.5696
2010,120045,Senador Guiomard,0.559
1991,120060,Tarauacá,0.5623
2000,120060,Tarauacá,0.6697
2010,120060,Tarauacá,0.6481
1991,120070,Xapuri,0.5163
2000,120070,Xapuri,0.5542
2010,120070,Xapuri,0.59
1991,130002,Alvarães,0.6617
2000,130002,Alvarães,0.5479
2010,130002,Alvarães,0.5881
1991,130006,Amaturá,0.7304
2000,130006,Amaturá,0.6631
2010,130006,Amaturá,0.6698
1991,130008,Anamã,0.5511
2000,130008,Anamã,0.6864
2010,130008,Anamã,0.5807
1991,130010,Anori,0.4612
2000,130010,Anori,0.5895
2010,130010,Anori,0.5984
1991,130014,Apuí,0.5693
2000,130014,Apuí,0.763
2010,130014,Apuí,0.5753
1991,130020,Atalaia do Norte,0.5883
2000,130020,Atalaia do Norte,0.7467
2010,130020,Atalaia do Norte,0.6594
1991,130030,Autazes,0.7072
2000,130030,Autazes,0.6584
2010,130030,Autazes,0.5982
1991,130040,Barcelos,0.4393
2000,130040,Barcelos,0.6387
2010,130040,Barcelos,0.7367
1991,130050,Barreirinha,0.4768
2000,130050,Barreirinha,0.5763
2010,130050,Barreirinha,0.6049
1991,130060,Benjamin Constant,0.7212
2000,130060,Benjamin Constant,0.6221
2010,130060,Benjamin Constant,0.5665
1991,130063,Beruri,0.4857
2000,130063,Beruri,0.622
2010,130063,Beruri,0.6574
1991,130068,Boa Vista do Ramos,0.493
2000,130068,Boa Vista do Ramos,0.6909
2010,130068,Boa Vista do Ramos,0.6097
1991,130070,Boca do Acre,0.5896
2000,130070,Boca do Acre,0.6196
2010,130070,Boca do Acre,0.6427
1991,130080,Borba,0.6286
2000,130080,Borba,0.6526
2010,130080,Borba,0.6364
1991,130083,Caapiranga,0.5141
2000,130083,Caapiranga,0.5256
2010,130083,Caapiranga,0.597
1991,130090,Canutama,0.5256
2000,130090,Canutama,0.7401
2010,130090,Canutama,0.6185
1991,130100,Carauari,0.6294
2000,130100,Carauari,0.7405
2010,130100,Carauari,0.5402
1991,130110,Careiro,0.5831
2000,130110,Careiro,0.6501
2010,130110,Careiro,0.6668
1991,130115,Careiro da Várzea,0.4746
2000,130115,Careiro da Várzea,0.5783
2010,130115,Careiro da Várzea,0.5722
1991,130120,Coari,0.543
2000,130120,Coari,0.5754
2010,130120,Coari,0.6234
1991,130130,Codajás,0.7633
2000,130130,Codajás,0.5994
2010,130130,Codajás,0.6153
1991,130140,Eirunepé,0.5817
2000,130140,Eirunepé,0.645
2010,130140,Eirunepé,0.6237
1991,130150,Envira,0.5036
2000,130150,Envira,0.6693
2010,130150,Envira,0.6374
1991,130160,Fonte Boa,0.4257
2000,130160,Fonte Boa,0.6369
2010,130160,Fonte Boa,0.631
1991,130165,Guajará,0.4684
2000,130165,Guajará,0.6617
2010,130165,Guajará,0.7397
1991,130170,Humaitá,0.5868
2000,130170,Humaitá,0.6889
2010,130170,Humaitá,0.6751
1991,130180,Ipixuna,0.644
2000,130180,Ipixuna,0.6763
2010,130180,Ipixuna,0.5863
1991,130185,Iranduba,0.4686
2000,130185,Iranduba,0.5839
2010,130185,Iranduba,0.6029
1991,130190,Itacoatiara,0.54
2000,130190,Itacoatiara,0.6047
2010,130190,Itacoatiara,0.5969
1991,130195,Itamarati,0.4678
2000,130195,Itamarati,0.6557
2010,130195,Itamarati,0.7761
1991,130200,Itapiranga,0.486
2000,130200,Itapiranga,0.55
2010,130200,Itapiranga,0.6732
1991,130210,Japurá,0.4274
2000,130210,Japurá,0.5771
2010,130210,Japurá,0.5986
1991,130220,Juruá,0.5053
2000,130220,Juruá,0.7268
2010,130220,Juruá,0.6056
1991,130230,Jutaí,0.5428
2000,130230,Jutaí,0.8004
2010,130230,Jutaí,0.694
1991,130240,Lábrea,0.6336
2000,130240,Lábrea,0.6746
2010,130240,Lábrea,0.5991
1991,130250,Manacapuru,0.5048
2000,130250,Manacapuru,0.5847
2010,130250,Manacapuru,0.5688
1991,130255,Manaquiri,0.7118
2000,130255,Manaquiri,0.6545
2010,130255,Manaquiri,0.5766
1991,130260,Manaus,0.5709
2000,130260,Manaus,0.6402
2010,130260,Manaus,0.6334
1991,130270,Manicoré,0.5566
2000,130270,Manicoré,0.606
2010,130270,Manicoré,0.6074
1991,130280,Maraã,0.4499
2000,130280,Maraã,0.5525
2010,130280,Maraã,0.6977
1991,130290,Maués,0.6734
2000,130290,Maués,0.6646
2010,130290,Maués,0.6452
1991,130300,Nhamundá,0.6046
2000,130300,Nhamundá,0.5474
2010,130300,Nhamundá,0.6586
1991,130310,Nova Olinda do Norte,0.5596
2000,130310,Nova Olinda do Norte,0.6872
2010,130310,Nova Olinda do Norte,0.6337
1991,130320,Novo Airão,0.5126
2000,130320,Novo Airão,0.5631
2010,130320,Novo Airão,0.6037
1991,130330,Novo Aripuanã,0.6036
2000,130330,Novo Aripuanã,0.6472
2010,130330,Novo Aripuanã,0.5749
1991,130340,Parintins,0.6228
2000,130340,Parintins,0.6134
2010,130340,Parintins,0.5947
1991,130350,Pauini,0.6393
2000,130350,Pauini,0.6998
2010,130350,Pauini,0.7268
1991,130353,Presidente Figueiredo,0.6071
2000,130353,Presidente Figueiredo,0.6212
2010,130353,Presidente Figueiredo,0.5384
1991,130356,Rio Preto da Eva,0.6002
2000,130356,Rio Preto da Eva,0.6044
2010,130356,Rio Preto da Eva,0.5566
1991,130360,Santa Isabel do Rio Negro,0.4864
2000,130360,Santa Isabel do Rio Negro,0.681
2010,130360,Santa Isabel do Rio Negro,0.7279
1991,130370,Santo Antônio do Içá,0.6557
2000,130370,Santo Antônio do Içá,0.6545
2010,130370,Santo Antônio do Içá,0.6738
1991,130380,São Gabriel da Cachoeira,0.6336
2000,130380,São Gabriel da Cachoeira,0.7801
2010,130380,São Gabriel da Cachoeira,0.8082
1991,130390,São Paulo de Olivença,0.631
2000,130390,São Paulo de Olivença,0.6906
2010,130390,São Paulo de Olivença,0.6433
1991,130395,São Sebastião do Uatumã,0.6125
2000,130395,São Sebastião do Uatumã,0.5378
2010,130395,São Sebastião do Uatumã,0.5781
1991,130400,Silves,0.4752
2000,130400,Silves,0.5882
2010,130400,Silves,0.5713
1991,130406,Tabatinga,0.554
2000,130406,Tabatinga,0.6312
2010,130406,Tabatinga,0.6618
1991,130410,Tapauá,0.4171
2000,130410,Tapauá,0.6214
2010,130410,Tapauá,0.6021
1991,130420,Tefé,0.4991
2000,130420,Tefé,0.581
2010,130420,Tefé,0.6293
1991,130423,Tonantins,0.4453
2000,130423,Tonantins,0.5441
2010,130423,Tonantins,0.5448
1991,130426,Uarini,0.5019
2000,130426,Uarini,0.5153
2010,130426,Uarini,0.6129
1991,130430,Urucará,0.6334
2000,130430,Urucará,0.7579
2010,130430,Urucará,0.6091
1991,130440,Urucurituba,0.4785
2000,130440,Urucurituba,0.6289
2010,130440,Urucurituba,0.5813
1991,140005,Alto Alegre,0.6637
2000,140005,Alto Alegre,0.5593
2010,140005,Alto Alegre,0.7369
1991,140002,Amajari,NA
2000,140002,Amajari,0.644
2010,140002,Amajari,0.7502
1991,140010,Boa Vista,0.5781
2000,140010,Boa Vista,0.5763
2010,140010,Boa Vista,0.5936
1991,140015,Bonfim,0.5931
2000,140015,Bonfim,0.5038
2010,140015,Bonfim,0.7323
1991,140017,Cantá,NA
2000,140017,Cantá,0.5779
2010,140017,Cantá,0.6673
1991,140020,Caracaraí,0.6283
2000,140020,Caracaraí,0.6029
2010,140020,Caracaraí,0.567
1991,140023,Caroebe,NA
2000,140023,Caroebe,0.6882
2010,140023,Caroebe,0.5549
1991,140028,Iracema,NA
2000,140028,Iracema,0.5509
2010,140028,Iracema,0.631
1991,140030,Mucajaí,0.6422
2000,140030,Mucajaí,0.5808
2010,140030,Mucajaí,0.7061
1991,140040,Normandia,0.8484
2000,140040,Normandia,0.8258
2010,140040,Normandia,0.712
1991,140045,Pacaraima,NA
2000,140045,Pacaraima,0.7126
2010,140045,Pacaraima,0.7429
1991,140047,Rorainópolis,NA
2000,140047,Rorainópolis,0.6916
2010,140047,Rorainópolis,0.5729
1991,140050,São João da Baliza,0.5813
2000,140050,São João da Baliza,0.5811
2010,140050,São João da Baliza,0.5498
1991,140060,São Luiz,0.6551
2000,140060,São Luiz,0.643
2010,140060,São Luiz,0.5895
1991,140070,Uiramutã,NA
2000,140070,Uiramutã,0.7862
2010,140070,Uiramutã,0.778
1991,150010,Abaetetuba,0.5056
2000,150010,Abaetetuba,0.5865
2010,150010,Abaetetuba,0.5389
1991,150013,Abel Figueiredo,NA
2000,150013,Abel Figueiredo,0.5183
2010,150013,Abel Figueiredo,0.5825
1991,150020,Acará,0.5783
2000,150020,Acará,0.5018
2010,150020,Acará,0.5355
1991,150030,Afuá,0.475
2000,150030,Afuá,0.4885
2010,150030,Afuá,0.6604
1991,150034,Água Azul do Norte,NA
2000,150034,Água Azul do Norte,0.6328
2010,150034,Água Azul do Norte,0.526
1991,150040,Alenquer,0.5032
2000,150040,Alenquer,0.5699
2010,150040,Alenquer,0.5968
1991,150050,Almeirim,0.6135
2000,150050,Almeirim,0.7184
2010,150050,Almeirim,0.6573
1991,150060,Altamira,0.5895
2000,150060,Altamira,0.5838
2010,150060,Altamira,0.5721
1991,150070,Anajás,0.3901
2000,150070,Anajás,0.5622
2010,150070,Anajás,0.6181
1991,150080,Ananindeua,0.5554
2000,150080,Ananindeua,0.5395
2010,150080,Ananindeua,0.5352
1991,150085,Anapu,NA
2000,150085,Anapu,0.6533
2010,150085,Anapu,0.5855
1991,150090,Augusto Corrêa,0.4145
2000,150090,Augusto Corrêa,0.5008
2010,150090,Augusto Corrêa,0.5682
1991,150095,Aurora do Pará,NA
2000,150095,Aurora do Pará,0.5605
2010,150095,Aurora do Pará,0.5846
1991,150100,Aveiro,0.5626
2000,150100,Aveiro,0.6452
2010,150100,Aveiro,0.6049
1991,150110,Bagre,0.4297
2000,150110,Bagre,0.5209
2010,150110,Bagre,0.4831
1991,150120,Baião,0.5128
2000,150120,Baião,0.6462
2010,150120,Baião,0.5428
1991,150125,Bannach,NA
2000,150125,Bannach,0.5295
2010,150125,Bannach,0.6263
1991,150130,Barcarena,0.5673
2000,150130,Barcarena,0.6097
2010,150130,Barcarena,0.5734
1991,150140,Belém,0.6041
2000,150140,Belém,0.646
2010,150140,Belém,0.6284
1991,150145,Belterra,NA
2000,150145,Belterra,0.6398
2010,150145,Belterra,0.5922
1991,150150,Benevides,0.5345
2000,150150,Benevides,0.5852
2010,150150,Benevides,0.492
1991,150157,Bom Jesus do Tocantins,0.5725
2000,150157,Bom Jesus do Tocantins,0.582
2010,150157,Bom Jesus do Tocantins,0.5297
1991,150160,Bonito,0.4789
2000,150160,Bonito,0.4859
2010,150160,Bonito,0.5122
1991,150170,Bragança,0.5063
2000,150170,Bragança,0.565
2010,150170,Bragança,0.5843
1991,150172,Brasil Novo,NA
2000,150172,Brasil Novo,0.5487
2010,150172,Brasil Novo,0.6838
1991,150175,Brejo Grande do Araguaia,0.4877
2000,150175,Brejo Grande do Araguaia,0.5603
2010,150175,Brejo Grande do Araguaia,0.5805
1991,150178,Breu Branco,NA
2000,150178,Breu Branco,0.6095
2010,150178,Breu Branco,0.5358
1991,150180,Breves,0.5399
2000,150180,Breves,0.5758
2010,150180,Breves,0.5828
1991,150190,Bujaru,0.5305
2000,150190,Bujaru,0.5221
2010,150190,Bujaru,0.5382
1991,150200,Cachoeira do Arari,0.4988
2000,150200,Cachoeira do Arari,0.746
2010,150200,Cachoeira do Arari,0.6134
1991,150195,Cachoeira do Piriá,NA
2000,150195,Cachoeira do Piriá,0.5496
2010,150195,Cachoeira do Piriá,0.5805
1991,150210,Cametá,0.502
2000,150210,Cametá,0.6007
2010,150210,Cametá,0.581
1991,150215,Canaã dos Carajás,NA
2000,150215,Canaã dos Carajás,0.634
2010,150215,Canaã dos Carajás,0.5686
1991,150220,Capanema,0.585
2000,150220,Capanema,0.5983
2010,150220,Capanema,0.5348
1991,150230,Capitão Poço,0.5172
2000,150230,Capitão Poço,0.6555
2010,150230,Capitão Poço,0.5837
1991,150240,Castanhal,0.5751
2000,150240,Castanhal,0.5711
2010,150240,Castanhal,0.5555
1991,150250,Chaves,0.4913
2000,150250,Chaves,0.5107
2010,150250,Chaves,0.6732
1991,150260,Colares,0.524
2000,150260,Colares,0.6458
2010,150260,Colares,0.5657
1991,150270,Conceição do Araguaia,0.529
2000,150270,Conceição do Araguaia,0.6244
2010,150270,Conceição do Araguaia,0.5348
1991,150275,Concórdia do Pará,0.5812
2000,150275,Concórdia do Pará,0.5742
2010,150275,Concórdia do Pará,0.506
1991,150276,Cumaru do Norte,NA
2000,150276,Cumaru do Norte,0.6301
2010,150276,Cumaru do Norte,0.6175
1991,150277,Curionópolis,0.5754
2000,150277,Curionópolis,0.5937
2010,150277,Curionópolis,0.5527
1991,150280,Curralinho,0.5371
2000,150280,Curralinho,0.5165
2010,150280,Curralinho,0.5749
1991,150285,Curuá,NA
2000,150285,Curuá,0.568
2010,150285,Curuá,0.6014
1991,150290,Curuçá,0.5274
2000,150290,Curuçá,0.7275
2010,150290,Curuçá,0.5828
1991,150293,Dom Eliseu,0.5437
2000,150293,Dom Eliseu,0.6575
2010,150293,Dom Eliseu,0.535
1991,150295,Eldorado dos Carajás,NA
2000,150295,Eldorado dos Carajás,0.6831
2010,150295,Eldorado dos Carajás,0.58
1991,150300,Faro,0.4717
2000,150300,Faro,0.5443
2010,150300,Faro,0.5606
1991,150304,Floresta do Araguaia,NA
2000,150304,Floresta do Araguaia,0.5722
2010,150304,Floresta do Araguaia,0.6247
1991,150307,Garrafão do Norte,0.4481
2000,150307,Garrafão do Norte,0.5932
2010,150307,Garrafão do Norte,0.5453
1991,150309,Goianésia do Pará,NA
2000,150309,Goianésia do Pará,0.6042
2010,150309,Goianésia do Pará,0.5619
1991,150310,Gurupá,0.4944
2000,150310,Gurupá,0.5427
2010,150310,Gurupá,0.568
1991,150320,Igarapé-Açu,0.5583
2000,150320,Igarapé-Açu,0.5359
2010,150320,Igarapé-Açu,0.5731
1991,150330,Igarapé-Miri,0.4911
2000,150330,Igarapé-Miri,0.5225
2010,150330,Igarapé-Miri,0.5343
1991,150340,Inhangapi,0.4822
2000,150340,Inhangapi,0.6022
2010,150340,Inhangapi,0.5257
1991,150345,Ipixuna do Pará,NA
2000,150345,Ipixuna do Pará,0.5932
2010,150345,Ipixuna do Pará,0.5863
1991,150350,Irituia,0.4575
2000,150350,Irituia,0.6042
2010,150350,Irituia,0.5868
1991,150360,Itaituba,0.5995
2000,150360,Itaituba,0.6353
2010,150360,Itaituba,0.577
1991,150370,Itupiranga,0.5221
2000,150370,Itupiranga,0.5829
2010,150370,Itupiranga,0.6186
1991,150375,Jacareacanga,NA
2000,150375,Jacareacanga,0.641
2010,150375,Jacareacanga,0.6964
1991,150380,Jacundá,0.5793
2000,150380,Jacundá,0.6268
2010,150380,Jacundá,0.6113
1991,150390,Juruti,0.5038
2000,150390,Juruti,0.6097
2010,150390,Juruti,0.603
1991,150400,Limoeiro do Ajuru,0.4449
2000,150400,Limoeiro do Ajuru,0.4946
2010,150400,Limoeiro do Ajuru,0.5793
1991,150405,Mãe do Rio,0.5829
2000,150405,Mãe do Rio,0.5954
2010,150405,Mãe do Rio,0.5886
1991,150410,Magalhães Barata,0.4291
2000,150410,Magalhães Barata,0.6585
2010,150410,Magalhães Barata,0.5478
1991,150420,Marabá,0.6018
2000,150420,Marabá,0.6291
2010,150420,Marabá,0.5978
1991,150430,Maracanã,0.4765
2000,150430,Maracanã,0.5834
2010,150430,Maracanã,0.6026
1991,150440,Marapanim,0.5065
2000,150440,Marapanim,0.5415
2010,150440,Marapanim,0.5487
1991,150442,Marituba,NA
2000,150442,Marituba,0.5314
2010,150442,Marituba,0.4477
1991,150445,Medicilândia,0.6201
2000,150445,Medicilândia,0.6648
2010,150445,Medicilândia,0.6138
1991,150450,Melgaço,0.4626
2000,150450,Melgaço,0.4591
2010,150450,Melgaço,0.5537
1991,150460,Mocajuba,0.463
2000,150460,Mocajuba,0.5577
2010,150460,Mocajuba,0.5921
1991,150470,Moju,0.4967
2000,150470,Moju,0.5641
2010,150470,Moju,0.6325
1991,150480,Monte Alegre,0.5101
2000,150480,Monte Alegre,0.591
2010,150480,Monte Alegre,0.5994
1991,150490,Muaná,0.4961
2000,150490,Muaná,0.56
2010,150490,Muaná,0.5671
1991,150495,Nova Esperança do Piriá,NA
2000,150495,Nova Esperança do Piriá,0.6581
2010,150495,Nova Esperança do Piriá,0.6405
1991,150497,Nova Ipixuna,NA
2000,150497,Nova Ipixuna,0.585
2010,150497,Nova Ipixuna,0.5978
1991,150500,Nova Timboteua,0.5517
2000,150500,Nova Timboteua,0.4796
2010,150500,Nova Timboteua,0.5192
1991,150503,Novo Progresso,NA
2000,150503,Novo Progresso,0.5608
2010,150503,Novo Progresso,0.5563
1991,150506,Novo Repartimento,NA
2000,150506,Novo Repartimento,0.657
2010,150506,Novo Repartimento,0.5957
1991,150510,Óbidos,0.5064
2000,150510,Óbidos,0.5397
2010,150510,Óbidos,0.5914
1991,150520,Oeiras do Pará,0.4831
2000,150520,Oeiras do Pará,0.5155
2010,150520,Oeiras do Pará,0.5716
1991,150530,Oriximiná,0.6019
2000,150530,Oriximiná,0.6201
2010,150530,Oriximiná,0.6535
1991,150540,Ourém,0.4642
2000,150540,Ourém,0.5983
2010,150540,Ourém,0.6305
1991,150543,Ourilândia do Norte,0.6035
2000,150543,Ourilândia do Norte,0.6366
2010,150543,Ourilândia do Norte,0.5812
1991,150548,Pacajá,0.6234
2000,150548,Pacajá,0.7355
2010,150548,Pacajá,0.6628
1991,150549,Palestina do Pará,NA
2000,150549,Palestina do Pará,0.6467
2010,150549,Palestina do Pará,0.5611
1991,150550,Paragominas,0.5675
2000,150550,Paragominas,0.6214
2010,150550,Paragominas,0.6151
1991,150553,Parauapebas,0.6027
2000,150553,Parauapebas,0.6668
2010,150553,Parauapebas,0.5452
1991,150555,Pau D'Arco,NA
2000,150555,Pau D'Arco,0.548
2010,150555,Pau D'Arco,0.5103
1991,150560,Peixe-Boi,0.5272
2000,150560,Peixe-Boi,0.586
2010,150560,Peixe-Boi,0.5668
1991,150563,Piçarra,NA
2000,150563,Piçarra,0.5382
2010,150563,Piçarra,0.5264
1991,150565,Placas,NA
2000,150565,Placas,0.5815
2010,150565,Placas,0.592
1991,150570,Ponta de Pedras,0.4605
2000,150570,Ponta de Pedras,0.5723
2010,150570,Ponta de Pedras,0.6104
1991,150580,Portel,0.4834
2000,150580,Portel,0.6621
2010,150580,Portel,0.6523
1991,150590,Porto de Moz,0.5222
2000,150590,Porto de Moz,0.6173
2010,150590,Porto de Moz,0.5993
1991,150600,Prainha,0.4325
2000,150600,Prainha,0.5752
2010,150600,Prainha,0.682
1991,150610,Primavera,0.6165
2000,150610,Primavera,0.6339
2010,150610,Primavera,0.655
1991,150611,Quatipuru,NA
2000,150611,Quatipuru,0.5329
2010,150611,Quatipuru,0.6068
1991,150613,Redenção,0.5563
2000,150613,Redenção,0.6034
2010,150613,Redenção,0.537
1991,150616,Rio Maria,0.5941
2000,150616,Rio Maria,0.6212
2010,150616,Rio Maria,0.5365
1991,150618,Rondon do Pará,0.535
2000,150618,Rondon do Pará,0.5923
2010,150618,Rondon do Pará,0.5647
1991,150619,Rurópolis,0.5558
2000,150619,Rurópolis,0.5875
